Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
CZMRCDWAGMRECN-UGDNZRGBNA-N,5988,9971,N,,pubchem,743220,9606,NR1H4,6137,O1[C@@](O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)CO)([C@@H](O)[C@H](O)[C@H]1CO)CO
CZRJZZTYRIMAJY-CIFLUQPANA-N,6321253,9971,N,,pubchem,743220,9606,NR1H4,6137,O=C(N[C@H]1CN(C2=C(C3=C4C(C2)=CNC4=CC=C3)C1)C)N(CC)CC
CZTIOVCKDBBBOI-AQTBWJFINA-N,2227168,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,FC=1C=C(/C(=C\C2=CC=C(N3CCCCC3)C=C2)/C#N)C=CC1
DAFHKNAQFPVRKR-UHFFFAOYNA-N,6490,9971,N,,pubchem,743220,9606,NR1H4,6137,OC(C(COC(=O)C(C)C)(C)C)C(C)C
DAHLLWMPBZUWAP-HCKMINDGNA-N,3282605,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,S1C(=NN=C1NC(=O)C2OC=3C(OC2)=CC=CC3)C(CC)CC
DAKHCIUKYFQQEU-PKSOQXRJNA-N,1450294,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,S1C=C(N=C1NC)C2=CC=3CCN(C3C=C2)C(=O)C4=C(F)C=CC=C4
DAKWPKUUDNSNPN-UHFFFAOYNA-N,CHEMBL1886556,9971,N,4.55,chembl20,752425,9606,NR1H4,6137,O(CC(COC(=O)C=C)(COC(=O)C=C)CC)C(=O)C=C
DAMJKVXRNRCOKA-OKPOJWAQNA-N,51361181,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,BrC1=C(C=2N(C(C=3NC4=C(N3)C=CC(OC)=C4)C5=CC=C(C=C5)C)C=6C(N2)=CC=CC6)C=CC=C1
DAMLMDCTLYBKGT-GPQMBLKYNA-N,16681807,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,ClC1=CC=C(C(N)CC2=NC=3C(N2)=CC=CC3)C=C1
DAMLPIVDOPCSSN-VNHAUOCNNA-N,2446017,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,S(CC1=NC(NC2=C(C=CC=C2)C)=NC(=N1)N)C3=CC=CC=C3
DAMPPXDFGMIGTC-UHFFFAOYNA-N,756794,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,BrC=1C=CC(NCC=2N(C=3C(N2)=CC=CC3)C)=CC1
DANKTKKLNXAGKW-UHFFFAOYNA-N,925735,7376,N,4.17043,pubchem,743037,9606,NR1H2,4643,FC1=C(C=2ON=C(N2)C=3C=CC(OC)=CC3)C=CC=C1
DANYIYRPLHHOCZ-UHFFFAOYNA-N,5280442,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,O1C2=C(C(=O)C=C1C3=CC=C(OC)C=C3)C(O)=CC(O)=C2
DAQUNDCGLQWHHN-LILDFLRNNA-N,2725930,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,O1C2=C(C=C(C1)C(=O)NC=3C=CC(OC)=CC3)C=CC=C2OC
DARSITVRJREWKX-UIEQFCKINA-N,CHEMBL408701,9971,A,5.6,chembl20,573899,9606,NR1H4,6137,[C@]12([C@H]([C@@H]3CC[C@H]4[C@@]([C@H]3CC1)(CC[C@@H](O)C4)C)CC[C@@H]2[C@@H](CCC(=O)N=CCS(O)(=O)O)C)C
DATNOZAQAIEORG-UHFFFAOYNA-N,272282,7376,N,4.17113,pubchem,743037,9606,NR1H2,4643,O1CC2CN(N=C2C3=C1C=CC=C3)C4=CC=CC=C4
CUAAOUQGDUPYKX-UYBDAZJANA-N,2295236,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,O(CCNC(=O)C=1N=C2C(=CC1)C=CC=C2)C=3C(=CC=CC3)C
CUARLQDWYSRQDF-UHFFFAOYNA-N,11769,9971,N,,pubchem,743220,9606,NR1H4,6137,O=N(=O)C=1C=2C=3C(CCC3C=CC2)=CC1
CUCMIJQKFCWAPD-NDKGDYFDNA-N,60196296,9971,N,,pubchem,743220,9606,NR1H4,6137,ClC=1C=2CN3C(NC2C=CC1Cl)=NC(O)=C3
CUEGWQNVJMSKQL-UHFFFAOYNA-N,52914923,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,O(C1=C(C2=C(NC=C2C=3C=CC=CC3)C=C1)C4=CC=CC=C4)CC5=NC=6C(C=C5)=CC=CC6
CUEIPMSFHWBZPX-GPQMBLKYNA-N,16193312,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,ClC12CC3CC(C1)C(=NNC(=O)C=4SC=CC4)C(C2)C3
CUGCFQCYIQPLOL-OVWQVETONA-N,5348774,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,O(/N=C(\N)/C1=NC=CC=C1)C(=O)/C=C/C2=CC=CC=C2
CUIHSIWYWATEQL-HQOSXFPVNA-N,10113978,9971,N,,pubchem,743220,9606,NR1H4,6137,S(=O)(=O)(N)C=1C(=CC=C(NC2=NC(N(C3=CC4=NN(C(=C4C=C3)C)C)C)=CC=N2)C1)C
CUJKWOFUYFZWKE-CATZCVBWNA-N,8070290,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,O=C(NC1=C(CC)C=CC(=C1)C2=NC=3C(N=C2)=CC=CC3)CNC(=O)C4=CC=CC=C4
CUJWDMGQMDFVSX-HCKMINDGNA-N,2285634,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,BrC=1C=CC(C(=O)NCCSC2=CC=CC=C2)=CC1
CUKUPQOPJXULNH-CUNFQGHENA-N,2083985,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,BrC=1C=C(C(=O)NC=2NC3=C(N2)C=CC=C3)C=CC1
CULUWZNBISUWAS-YHMJCDSINA-N,31593,9971,N,,pubchem,743220,9606,NR1H4,6137,O=C(NCC1=CC=CC=C1)CN2C(=NC=C2)N(=O)=O
CUMSYMBOSFWKPB-JLGFQASFNA-N,3775159,7376,N,4.17075,pubchem,743052,9606,NR1H2,4643,O=N(=O)C1=CC=2NC3=NC=4C(N=C3NC2C=C1)=CC=CC4
CUOHEBKGTVEPLO-MPIMZMORNA-N,60159563,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,O=C(NC1CCC(CC1)C)N2CC(CCC2)C=3ON=C(N3)C=4C=CC(OC)=CC4
CUPCXDRVHZGUGE-UHFFFAOYNA-N,CHEMBL226097,10062,A,6.62,chembl20,436025,9606,NR1H3,6206,C1(=C(C2=CC=CC(=C2N=C1)C(F)(F)F)C=3C=C(NCC4=CC=CC=C4)C=CC3)C(C=5C=CC=CC5)=O
CUPCXDRVHZGUGE-UHFFFAOYNA-N,CHEMBL226097,7376,A,7.35,chembl20,436024,9606,NR1H2,4643,C1(=C(C2=CC=CC(=C2N=C1)C(F)(F)F)C=3C=C(NCC4=CC=CC=C4)C=CC3)C(C=5C=CC=CC5)=O
CURAOQJHNJLYGZ-WYUMXYHSNA-N,2385407,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,S1C=2C(N=C1NC(=O)C=3OC=CC3)=C(F)C=C(F)C2
CURRJRVNHCZZST-JLGFQASFNA-N,223396,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,O=C(NC1=C(C=CC=C1)C)C(=O)NC2=C(C=CC=C2)C
CURUTKGFNZGFSE-UHFFFAOYNA-N,3042,9971,N,,pubchem,743220,9606,NR1H4,6137,O(C(=O)C1(C2CCCCC2)CCCCC1)CCN(CC)CC
CUSLRHQJBQHNPX-HCKMINDGNA-N,838123,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,BrC=1C=C(C(=O)NC2=CC=3OCCOC3C=C2)C=CC1
CXENHBSYCFFKJS-VDQVFBMKNA-N,5281516,9971,N,,pubchem,743217,9606,NR1H4,6137,C(CC=C(C)C)/C(=C/C/C=C(\C)/C=C)/C
CXGTZJYQWSUFET-CPWMWUCQNA-N,57823090,9971,N,,pubchem,743217,9606,NR1H4,6137,S(OC1=CC=C(CCOC2=CC=C(C[C@@H](OCC)C(=O)O)C=C2)C=C1)(=O)(=O)C
CXHFIVFPHDGZIS-UHFFFAOYNA-N,74887,9971,N,,pubchem,743220,9606,NR1H4,6137,ICCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
CXHMMBSVAPYKCF-LILDFLRNNA-N,2224694,7376,N,4.17043,pubchem,720737,9606,NR1H2,4643,OC=1N=C2N(N=C(C2=C(C1)C)C)C3=CC=C(C=C3)C
CXHPHRDFVBQLLC-CMDGGOBGNA-N,5714039,7376,N,4.17057,pubchem,743037,9606,NR1H2,4643,ClC=1C(/C=C/C2=NC=3C(N=C2)=CC=CC3)=C(F)C=CC1
CXMXRPHRNRROMY-KZZMUEETNA-N,5192,9971,N,,pubchem,743220,9606,NR1H4,6137,O=C(O)CCCCCCCCC(=O)O
CXNYQTCCSGDDQE-UHFFFAOYNA-N,5938737,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,S1C(C(N(C1=S)C2=CC=CC=C2)=N(O)=CC3=CC(OC)=C(OC)C=C3)(C)C
CXOFVDLJLONNDW-XQMQJMAZNA-N,657302,9971,N,,pubchem,743220,9606,NR1H4,6137,O=C1NC(=O)NC1(C2=CC=CC=C2)C3=CC=CC=C3
CXPGIBUNOFAQOI-HCKMINDGNA-N,17252686,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,FC1=CC=C(C=2ON=C(C(=O)NC3CCCC3)C2)C=C1
CXSWMXMKWWOTPK-PZXRDPTENA-N,CHEMBL555373,10062,A,9.0,chembl20,304312,9606,NR1H3,6206,C12(C(C(C(OC(C3([C@H]4[C@](C5=CC(O)=CC=C5CC4)(C)CCC3)C)=O)=O)(C)CCC1)CCC=6C2=CC(=CC6)O)C
CXSWMXMKWWOTPK-PZXRDPTENA-N,CHEMBL555373,7376,A,9.0,chembl20,306648,9606,NR1H2,4643,C12(C(C(C(OC(C3([C@H]4[C@](C5=CC(O)=CC=C5CC4)(C)CCC3)C)=O)=O)(C)CCC1)CCC=6C2=CC(=CC6)O)C
CXVGEDCSTKKODG-HCKMINDGNA-N,19988,9971,N,,pubchem,743220,9606,NR1H4,6137,S(O)(=O)(=O)C1=CC(=C(O)C=C1OC)C(=O)C2=CC=CC=C2
CVYZVNVPQRKDLW-UHFFFAOYNA-N,8385,9971,N,,pubchem,743220,9606,NR1H4,6137,O(C1=C(N(=O)=O)C=C(N(=O)=O)C=C1)C
CWBGTRWGHOYBSM-UHFFFAOYNA-N,71462452,10062,A,5.21467,pubchem,703190,9606,NR1H3,6206,O=C1N(C2=C(C(C3=C1C=CC=C3)=C)C=C(N(=O)=O)C=C2)C
CWBGTRWGHOYBSM-UHFFFAOYNA-N,CHEMBL2171901,7376,N,4.89,chembl20,863932,9606,NR1H2,4643,N1(C=2C(C(C3=C(C1=O)C=CC=C3)=C)=CC(=CC2)N(=O)=O)C
CWBWCLOQWOCAAY-UHFFFAOYNA-N,16187336,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,O=C(N1C(C=2NC=3C(C2CC1)=CC=CC3)CC(C)C)C4=NC(=CC=C4)C
CWCMZMIKEMFOOK-HCKMINDGNA-N,3142819,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,O1C2=C(OCC1)C=CC(=C2)C(=O)NC=3C=C(OC)C=CC3
CWCNSVAWCNUQDQ-LQFNOIFHNA-N,650624,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,S(=O)(=O)(NCC(=O)N(C1=CC=2OCCOC2C=C1)CC(=O)NCC=3OC=CC3)C4=CC=CC=C4
CWDARYKLTKILHM-PKSOQXRJNA-N,3828962,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,ClC1=CC(NC(CC(=O)C=2C=CC=CC2)C(=O)O)=CC=C1C
CWFIYYOQYVYBPW-UHFFFAOYNA-N,17279,9971,N,,pubchem,743220,9606,NR1H4,6137,N#CC=1C=2C(C=3C(C1)=CC=CC3)=CC=CC2
CWFLKUZQTTZOMJ-UHFFFAOYNA-N,44417045,7376,A,5.85387,pubchem,271505,9606,NR1H2,4643,FC(F)(F)C(O)(C1=CC=C(N(C(C(=O)N2CCOCC2)C3=CC=CC=C3)CC)C=C1)C(F)(F)F
CWFLKUZQTTZOMJ-UHFFFAOYNA-N,CHEMBL385544,10062,A,5.27,chembl20,406039,9606,NR1H3,6206,C=1C(=CC=C(C1)N(CC)C(C(=O)N2CCOCC2)C3=CC=CC=C3)C(C(F)(F)F)(C(F)(F)F)O
CWFOCCVIPCEQCK-UHFFFAOYNA-N,CHEMBL1869551,9971,N,4.4,chembl20,752447,9606,NR1H4,6137,BrC1=C(N(C(=C1C#N)C2=CC=C(Cl)C=C2)COCC)C(F)(F)F
CWJSHJJYOPWUGX-XWKXFZRBNA-N,2728,9971,N,,pubchem,743220,9606,NR1H4,6137,ClC1=CC(NC(OC(C)C)=O)=CC=C1
CWLYKZIFHIAKNF-RQPYPYGUNA-N,5341144,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,O1N=C(/C(=N/N=CC=2C=CC(O)=CC2)/N)C(=N1)N
CWMTUEXMOZWHSH-GPQMBLKYNA-N,3243301,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,ClC=1C(OC)=CC(NC(=O)C2=NOC(=C2)C=3OC=CC3)=C(OC)C1
CWNSVVHTTQBGQB-UHFFFAOYNA-N,18783,9971,N,,pubchem,743220,9606,NR1H4,6137,O=C(N(CC)CC)CCCCCCCCCCC
CWOZAVNAEIIMQN-UHFFFAOYNA-N,CHEMBL573383,10062,A,5.59,chembl20,587932,9606,NR1H3,6206,C=1(C(=C2C(C(N(C2=O)C3=CC(=CC=C3)CCC=4C=C(C=CC4)O)=O)=C(C1Cl)Cl)Cl)Cl
CWQJOBFAFVJZIG-UHFFFAOYNA-N,6603018,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,O=C1C2=C(NC=3C(N=C2CC)=CC=CC3)CCC1
CUYDOFQSBSMKIM-SOFGYWHQNA-N,5731706,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,ClC1=CC(/C=C/C2=NC3=C(C=C2)C=CC=C3O)=CC(OC)=C1OC
CUZBACHHWQECIQ-NPVYFSBINA-N,971719,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,ClC=1C=C(CCNC(=S)NC2=CC=C(C=C2)C(=O)C)C=CC1
CVAVMIODJQHEEH-WIAMWFFGNA-O,6694,9971,N,,pubchem,743217,9606,NR1H4,6137,O1C=2C(=C(C3=C1C=C(N(CC)CC)C=C3)C4=C(C=CC=C4)C(O)=O)C=CC(=[N+](CC)CC)C2
CVCCYEXJMNZMJD-WYUMXYHSNA-N,1093736,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,O=C(NC1CCCC1)C2=NOC(=C2)C3=CC=CC=C3
CVDZZTKHRWRLCE-HWMIMMATNA-N,5780779,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,ClC1=C(C(=O)NN/C=C/2\N=C3C(=C2)C=CC=C3)C=CC=C1
CVHGCWVMTZWGAY-UHFFFAOYNA-N,71693,9971,N,,pubchem,743220,9606,NR1H4,6137,O1CCN(CCCC2=CC=C(C=C2)COC3=CC=CC=C3)CC1
CVKBGNGVPMPNQU-YHMJCDSINA-N,686361,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,S=C1NC2(NC3=C1C=CC=C3)CCCC2
CVLDPARFNKJSKT-YAQRNVERNA-N,771785,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,ClC=1C=C2NC(N3CCCCC3)=NC2=CC1
CVLHGLWXLDOELD-KZFATGLANA-N,6640,9971,N,,pubchem,743220,9606,NR1H4,6137,S(O)(=O)(=O)C1=CC=C(C(C)C)C=C1
CVPGDDRZFCAIGF-UHFFFAOYNA-N,17252765,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,BrC1=CC=C(C=2ON=C(C(=O)N3CCOCC3)C2)C=C1
CVPWLODMVVPHSM-FOIMCPNXNA-N,5405580,7376,N,4.17018,pubchem,743037,9606,NR1H2,4643,S1C(\C(=N/N=C(\C=2SC=CC2)/C)\C)=CC=C1
CVQOAPHKFXRXIH-XQMQJMAZNA-N,946051,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,O(CC(C)C)C1=CC=C(C=2NN=C(C2)C(=O)NN)C=C1
CQXADFVORZEARL-XWKXFZRBNA-N,68712,9971,N,,pubchem,743220,9606,NR1H4,6137,O1C(NC(C2CC2)C3CC3)=NCC1
CQYDCHQUTBKLOI-PWIKPTQSNA-N,4154397,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,S1C(NC(=O)C2C3OC(C2C(=O)O)CC3)=NC(=C1C)C4=CC=C(CC(C)C)C=C4
CRBBOOXGHMTWOC-NPDDRXJXNA-N,22833389,9971,N,,pubchem,743217,9606,NR1H4,6137,O1[C@@H]([C@H](OCCO)[C@@H](OCCO)C1)[C@H](O)COC(=O)CCCCCCCCCCC
CRBWEZWLWBCXFG-UHFFFAOYNA-N,2613788,7376,N,4.17052,pubchem,720737,9606,NR1H2,4643,S1C(=NC=2C1=CC=CC2)CSC=3N(N=NN3)C=4C(OCC)=CC=CC4
CRCSLLUFICMUTL-UHFFFAOYNA-N,2469037,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,S1C=2C(N=C1SCC(=O)C=3C(O)=CC(O)=CC3)=CC=CC2
CRDAMVZIKSXKFV-YFVJMOTDNA-N,445070,9971,N,,pubchem,743220,9606,NR1H4,6137,OC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C
CRDFONUBVPHKSJ-UHFFFAOYNA-N,3586710,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,ClC1=CN2C(=NC(=C2)CSC3=CC=CC=C3)C=C1
CREITYCEEQRVFS-UHFFFAOYNA-N,649160,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,O=C1N(CCC1)CCCN=CC2C(=O)C=3C(C2=O)=CC=CC3
CRGCFVHUHDUOPO-UHFFFAOYNA-N,51360081,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,BrC1=CN2C(CC3=CC(F)=CC=C3)=C(N=C2C=C1)C4=CC=C(Cl)C=C4
CRGFTAFCLJXINH-WFDDUDQDNA-N,9679909,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,S1C(N/N=C/C2=C(N(C=3C2=CC=CC3)CC)C)=NC=4C1=CC=CC4
CRQKIONCLNLQDE-PKSOQXRJNA-N,1249702,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,S1C=2C(N=C1NC(=O)COC(=O)CSC3=NC(=CC(=N3)C)C)=CC=CC2
CRQQGFGUEAVUIL-UHFFFAOYNA-N,CHEMBL468167,9971,N,4.85,chembl20,752447,9606,NR1H4,6137,C=1(C(C#N)=C(C(=C(C1Cl)Cl)C#N)Cl)Cl
CRZQBESPAGQADE-LJHXWLLONA-N,CHEMBL1879202,9971,N,4.4,chembl20,752447,9606,NR1H4,6137,O1[C@H]2[C@]3(O)C(=CC([C@H]2O)C)C(O[C@@H]4C[C@]5(O[C@@H](C4)CC=C([C@@H](O[C@@H]6O[C@H]([C@H](O[C@@H]7O[C@H]([C@@H](NC(=O)C)[C@@H](OC)C7)C)[C@@H](OC)C6)C)[C@H](C=CC=C3C1)C)C)OC([C@H](C=C5)C)[C@H](CC)C)=O
CSEIKYIGVBFUKD-MISHLHQHNA-N,CHEMBL520370,10062,A,6.77,chembl20,551128,9606,NR1H3,6206,C1[C@H](O)C[C@]2([C@](C1)([C@@H]3[C@@H]([C@@H](O)[C@H]2O)[C@H]4[C@](C)(CC3)[C@@H]([C@@H](CCC(C(C)C)=C)C)CC4)C)O
CSEUTQNKXLGGLY-ACCUITESNA-N,2083068,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,ClC=1C=CC(C(=O)/N=C\2/SC=CN2C)=CC1
CSFSBBOINZNDGR-LUXCBXFANA-N,1898255,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,OC1=CC(NC(=O)C(=O)NC2=NC=CC=C2)=CC=C1
CSHFDEXMEUXQFY-KUVHWRLQNA-N,CHEMBL3138092,9971,A,6.23,chembl20,372415,9606,NR1H4,6137,C1[C@@H](O)CC2[C@](C)(C1)[C@@H]3[C@@H]([C@@H](C2)O)[C@H]4[C@](C)(CC3)C([C@@H](CCNC(OC/C=C/C5=CC=CC=C5)=O)C)CC4
CSHPROCSABULLN-LILDFLRNNA-N,2165907,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,O(CC=1C=C(C(=O)NCCC)C=CC1)C=2C(OC)=CC=CC2
CSIZNYPDEUPVKZ-UHFFFAOYNA-N,CHEMBL203824,10062,A,6.0,chembl20,340909,9606,NR1H3,6206,C=1C=C(S(=O)(N(C=2C=CC(C(OC)(C(F)(F)F)C(F)(F)F)=CC2)C)=O)C=CC1
CSIZNYPDEUPVKZ-UHFFFAOYNA-N,CHEMBL203824,7376,A,5.66,chembl20,835704,9606,NR1H2,4643,C=1C=C(S(=O)(N(C=2C=CC(C(OC)(C(F)(F)F)C(F)(F)F)=CC2)C)=O)C=CC1
CSIZPHWKBOOAAC-GVXAPZQYNA-N,2673471,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,O=C(NC=1C=C2CCCC2=CC1)/C=C/C=3C(OC)=CC=CC3
CSJVNRFDBUOBAF-UYBDAZJANA-N,4228306,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,ClC1=C(NC(=S)N2CC(CC2)C3=CC=CC=C3)C=CC(=C1)C
CSKHWXZLDXSYSP-GPQMBLKYNA-N,570216,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,O=N(=O)C=1C=C(C(C)(C)C)C=CC1NC(=O)C=2C=CC=CC2
CSMFSDCPJHNZRY-WXRBYKJCNA-N,23665771,9971,N,,pubchem,743220,9606,NR1H4,6137,S(OCCCCCCCCCC)(O)(=O)=O
CSPKDLLEGKVEMG-UHFFFAOYNA-N,1946433,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,O1N=C(N=C1C2=C3C(=CC=C2)C=CC=C3)C4=CC=CN=C4
CTDSBEMGTBNHDJ-GPQMBLKYNA-N,3240580,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,O1N=C(C=2CCCCCC12)C(=O)NC=3C=CC(CC)=CC3
CTEXEILJCPZPHK-HVXXBKQBNA-N,647938,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,O=C(N1C=2C(N=C1N)=CC=CC2)CCC3=CC=CC=C3
CTGIBRGBEVEPID-UHFFFAOYNA-N,24860514,10062,A,5.24413,pubchem,328047,9606,NR1H3,6206,O1C=2C=C(CCC3=CC=C(C=4C(CCC5=CC=C1C=C5)=CC=CC4)C=C3)C=CC2O
CTGIBRGBEVEPID-UHFFFAOYNA-N,CHEMBL429324,7376,N,4.85,chembl20,476074,9606,NR1H2,4643,C=1C=C2OC=3C=C(C=CC3O)CCC4=CC=C(C5=CC=CC=C5CCC1C=C2)C=C4
CTKCNLHHQSMOFA-KKWIMRFKNA-N,9567023,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,O1C(=CC=C1)C(O/N=C(\N)/C2=NC=CC=C2)=O
CTMPVZRVDXIPCK-YAQRNVERNA-N,856376,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,BrC=1C=CC(C(=O)CNC(=O)C=2SC=CC2)=CC1
CTNBTTIMTWNDOW-UHFFFAOYNA-N,259998,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,O1C(=NN=C1C=2C=CC=CC2)C3=CC(=CC=C3)C
CTOMOMLVUVLJNV-LYNRFQDHNA-N,2342848,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,ClC=1C(/C=C/C(OCC(=O)NC=2C(OC)=CC=C(OC)C2)=O)=CC=CC1
CYCUGYXZROHKEM-UHFFFAOYNA-N,3313095,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,O1CCN(C(C=2C3=C(OC(=C3C(OCC)=O)C)C4=C(C2O)C=CC=C4)C5=CC=CC=C5)CC1
CYDRXTMLKJDRQH-UHFFFAOYNA-N,CHEMBL1885899,9971,A,8.46,chembl20,752425,9606,NR1H4,6137,[N+](CC1=CC=CC=C1)(CCCCCCCCCCCC)(C)C
CYEHNBFRCZLKJT-UHFFFAOYNA-N,230513,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,O1C(=C(N=C1C2=NC=CC3=C2C=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5
CYENRNQHWAZBOJ-UHFFFAOYNA-N,693000,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,ClC=1SC(C(=O)N2CCC=3C2=CC=CC3)=CC1
CYGSMUPSBWPCNB-UHFFFAOYNA-N,234714,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,O1CCN(C(C(N2CCOCC2)C(=O)C=3C=CC=CC3)C=4C(OC)=CC=CC4)CC1
RXMHSSANSKRGOG-UHFFFAOYNA-N,77620538,10062,A,5.4318,pubchem,1139099,9606,NR1H3,6206,S(=O)(=O)(N(CC(C)C)CC=1SC(=CC1)C2=CC=C(S(=O)(=O)C)C=C2)CC3=CC=CC=C3
